# 4K txt chart format v1
# Converted from AiAe / NM

[Meta]
id=174381-yuyoyuppe-aiae-nm
title=AiAe
artist=Yuyoyuppe
charter=Fullerene-
difficulty=NM
audio=/songs/174381-yuyoyuppe-aiae/04. AiAe.mp3
background=/songs/174381-yuyoyuppe-aiae/bg.png
preview=43674
lanes=4
offset=0
approach=1500

[Timing]
1008,180,4

[Notes]
1008,0,tap
1008,3,tap
1341,2,tap
1341,1,tap
1841,2,tap
2008,1,tap
2008,3,tap
2341,0,tap
2674,3,tap
2674,2,tap
3174,3,tap
3341,2,tap
3341,0,tap
3674,1,tap
4008,3,tap
4008,0,tap
4508,1,tap
4674,3,tap
4674,2,tap
5008,0,tap
5341,1,tap
5341,0,tap
5508,3,tap
5841,2,tap
6008,3,tap
6008,0,tap
6174,2,tap
6341,0,tap
6341,3,tap
6674,2,tap
6674,1,tap
7174,0,tap
7341,1,tap
7341,2,tap
7674,3,tap
8008,0,tap
8008,1,tap
8508,3,tap
8674,2,tap
8674,0,tap
9008,1,tap
9341,3,tap
9341,2,tap
9841,1,tap
10008,0,tap
10008,2,tap
10341,3,tap
10674,1,tap
10674,2,tap
10841,3,tap
11008,0,tap
11174,1,tap
11341,2,tap
11341,0,tap
11508,1,tap
11674,0,tap
11674,3,tap
12008,1,tap
12008,2,tap
12508,0,tap
12674,2,tap
12674,3,tap
13008,1,tap
13341,3,tap
13341,0,tap
13841,2,tap
14008,3,tap
14008,1,tap
14341,0,tap
14674,1,tap
14674,2,tap
15174,2,tap
15341,1,tap
15341,3,tap
15674,0,tap
16008,2,tap
16008,1,tap
16174,0,tap
16508,1,tap
16674,3,tap
16674,2,tap
16841,1,tap
17008,0,tap
17008,3,tap
17341,3,tap
17341,2,tap
17841,1,tap
18008,0,tap
18008,3,tap
18341,2,tap
18674,0,tap
18674,3,tap
19174,1,tap
19341,3,tap
19341,0,tap
19674,1,tap
20008,3,tap
20008,0,tap
20341,1,tap
20674,3,tap
20674,0,tap
21008,1,tap
21008,0,tap
21341,2,tap
21341,3,tap
21674,1,tap
21674,0,tap
22008,2,tap
22008,3,tap
22341,1,tap
22341,0,tap
23008,3,tap
23674,2,tap
24341,1,tap
25008,0,tap
25674,2,tap
26341,1,tap
27008,2,tap
27674,0,tap
28341,1,tap
29008,3,tap
29674,2,tap
30341,0,tap
31008,1,tap
31674,2,tap
32341,1,tap
33008,0,tap
33008,3,tap
33674,3,tap
34341,2,tap
35008,1,tap
35674,0,tap
36341,1,tap
37008,2,tap
37674,3,tap
38341,0,tap
39008,1,tap
39674,3,tap
40341,2,tap
41008,0,hold,1000
41341,1,tap
41508,2,tap
41674,3,tap
42008,3,tap
42341,2,tap
42674,1,tap
43008,2,tap
43674,0,tap
43674,3,tap
44008,1,tap
44008,2,tap
44341,3,tap
44674,1,tap
44674,0,tap
45008,2,tap
45341,1,tap
45341,3,tap
45674,0,tap
46008,3,tap
46008,2,tap
46341,0,tap
46674,2,tap
46674,1,tap
47008,0,tap
47341,3,tap
47341,2,tap
47674,0,tap
48008,1,tap
48008,3,tap
48341,2,tap
48674,3,tap
48674,0,tap
49008,1,tap
49008,0,tap
49341,2,tap
49341,3,tap
49674,0,tap
50008,1,tap
50008,2,tap
50341,3,tap
50674,1,tap
50674,0,tap
51008,2,tap
51341,0,tap
51341,3,tap
51674,1,tap
52008,2,tap
52008,3,tap
52341,1,tap
52674,3,tap
52674,0,tap
53008,2,tap
53008,1,tap
53341,3,tap
53341,0,tap
53674,1,tap
53674,2,tap
54008,3,tap
54008,0,tap
54341,0,tap
54341,2,tap
54674,1,tap
54674,3,tap
55008,3,tap
55341,0,tap
55341,1,tap
55674,2,tap
56008,0,tap
56008,3,tap
56341,1,tap
56674,2,tap
56674,3,tap
57008,1,tap
57341,3,tap
57341,0,tap
57674,2,tap
58008,3,tap
58008,1,tap
58341,0,tap
58674,1,tap
58674,3,tap
59008,2,tap
59341,3,tap
59341,0,tap
59674,2,tap
59674,1,tap
60008,1,tap
60008,3,tap
60341,0,tap
60674,2,tap
60674,3,tap
61008,1,tap
61008,0,tap
61341,3,tap
61341,2,tap
61674,2,tap
62008,0,tap
62008,3,tap
62341,1,tap
62341,2,tap
62674,2,tap
62674,3,tap
63008,0,tap
63008,1,tap
63341,3,tap
63341,2,tap
63674,1,tap
63674,0,tap
64008,2,tap
64008,3,tap
64341,0,tap
64341,1,tap
64674,2,tap
64674,3,tap
65008,0,tap
65008,3,tap
65508,2,tap
66341,1,tap
66841,3,tap
67674,2,tap
68174,0,tap
69008,3,tap
69508,2,tap
70341,1,tap
70341,0,tap
70841,2,tap
71674,0,tap
72174,1,tap
73008,2,tap
73508,3,tap
74341,0,tap
74841,2,tap
75674,1,tap
75674,0,tap
76174,2,tap
77008,3,tap
77508,2,tap
78341,1,tap
78841,0,tap
79674,1,tap
80174,2,tap
81008,3,tap
81008,2,tap
81508,1,tap
82341,2,tap
82841,3,tap
83674,0,tap
84174,1,tap
85008,3,tap
85008,2,tap
85341,0,tap
85674,3,tap
86008,0,tap
86341,1,tap
86341,2,tap
86674,3,tap
86674,0,tap
87341,2,tap
87341,1,tap
88008,3,tap
88008,2,tap
88341,0,tap
88674,1,tap
88674,3,tap
89008,0,tap
89341,2,tap
89341,3,tap
89674,1,tap
90008,3,tap
90008,0,tap
90341,2,tap
90674,3,tap
90674,0,tap
91008,1,tap
91341,2,tap
91341,3,tap
91508,1,tap
91674,0,tap
91674,2,tap
92008,2,tap
92008,1,tap
92674,3,tap
92674,2,tap
93341,1,tap
93341,0,tap
93674,2,tap
94008,3,tap
94008,0,tap
94341,1,tap
94674,2,tap
94674,3,tap
95008,0,tap
95341,1,tap
95341,3,tap
95674,2,tap
96008,0,tap
96008,1,tap
96341,3,hold,667
96674,0,tap
97008,2,tap
97008,1,tap
97341,0,tap
97341,3,tap
98008,2,tap
98008,1,tap
98674,3,tap
98674,1,tap
99008,0,tap
99341,1,tap
99341,3,tap
99674,2,tap
100008,3,tap
100008,0,tap
100341,2,tap
100674,1,tap
100674,3,tap
101008,0,tap
101341,2,tap
101341,3,tap
101674,1,tap
102008,3,tap
102008,0,tap
102674,2,tap
102674,3,tap
103341,1,tap
103341,2,tap
103674,3,tap
104008,0,tap
104008,1,tap
104341,3,tap
